0,0
1,0
8,0
9,0
10,0
11,0
19,0
20,0
21,0
22,0
23,0
28,1000
29,0
36,0
37,0
56,0
57,0
62,0
63,0
64,0
65,0
66,0
67,0
70,1000
71,0
74,0
75,0
76,0
77,0
82,0
83,0
88,0
89,0
92,1000
93,0
98,0
99,0
112,0
113,0
118,0
119,0
138,0
139,0
142,0
143,0
152,0
153,0
154,0
155,0
158,0
159,0
160,1000
161,0
162,0
163,0
172,0
173,0
178,0
179,0
184,0
185,0
186,1000
187,0
192,0
193,0
194,0
195,0
198,0
199,0
206,0
207,0
212,0
213,0
216,0
217,0
220,2000
221,2000
224,0
225,0
230,0
231,0
232,0
233,0
236,0
237,0
238,1000
239,0
244,1000
245,1000
254,0
255,0
258,0
259,0
266,0
267,0
282,0
283,0
288,0
289,0
294,0
295,0
296,1500
297,0
300,0
301,0
306,0
307,0
322,0
323,0
330,0
331,0
346,0
347,0
352,0
353,0
354,0
355,0
366,0
367,0
368,0
369,0
372,0
373,0
398,1000
399,1000
400,0
401,0
406,0
407,0
408,1500
409,1000
412,0
413,0
426,0
427,0
430,1000
431,0
438,0
439,0
440,0
441,0
448,0
449,0
450,0
451,0
470,0
471,0
476,0
477,0
480,0
481,0
496,0
497,0
504,0
505,0
508,0
509,0
510,0
511,0
522,1500
523,0
524,0
525,0
528,0
529,0
532,0
533,0
534,1000
535,0
536,0
537,0
552,0
553,0
564,0
565,0
566,0
567,0
572,0
573,0
576,1500
577,0
580,0
581,0
584,0
585,0
596,0
597,0
602,0
603,0
606,0
607,0
612,0
613,0
616,0
617,0
624,0
625,0
626,0
627,0
634,0
635,0
636,0
637,1500
648,0
649,0
650,0
651,2000
658,0
659,0
662,0
663,0
674,0
675,0
680,0
681,0
690,0
691,0
694,0
695,0
696,0
697,0
706,0
707,1000
708,0
709,0
712,0
713,2000
714,0
715,0
718,0
719,0
732,0
733,0
742,0
743,0
744,0
745,0
746,0
747,0
754,0
755,0
756,0
757,0
762,0
763,0
770,0
771,0
772,0
773,0
774,0
775,0
786,0
787,0
796,0
797,0
800,0
801,0
802,0
803,1500
816,0
817,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
840,0
841,0
844,0
845,0
878,0
879,0
882,0
883,0
886,0
887,0
890,0
891,0
894,0
895,0
896,0
897,0
898,0
899,0
900,0
901,0
908,0
909,1000
916,0
917,0
928,0
929,0
932,0
933,1500
936,0
937,0
940,0
941,0
946,0
947,0
948,0
949,0
958,0
959,1500
966,0
967,0
970,0
971,0
988,0
989,1000
990,1500
991,0
996,0
997,0
998,0
999,0
1002,0
1003,0
1006,0
1007,0
1010,0
1011,0
1012,1000
1013,1500
1016,0
1017,0
1020,0
1021,0
1024,0
1025,0
1030,0
1031,0
1036,1000
1037,0
1040,1500
1041,0
1050,1000
1051,0
1054,0
1055,0
1070,0
1071,0
1082,0
1083,0
1084,0
1085,0
1098,0
1099,0
1102,0
1103,0
1108,0
1109,0
1110,0
1111,0
1118,0
1119,0
1124,1000
1125,0
1132,1000
1133,0
1136,0
1137,0
1138,1500
1139,0
1142,0
1143,0
1154,0
1155,0
1170,0
1171,0
1172,0
1173,0
1174,0
1175,0
1182,0
1183,0
1184,0
1185,0
1186,0
1187,0
1192,0
1193,0
1196,0
1197,0
1200,0
1201,0
1202,1000
1203,0
1218,0
1219,0
1222,0
1223,0
1226,0
1227,0
1228,0
1229,0
1236,0
1237,0
1242,0
1243,0
1248,0
1249,0
1254,0
1255,0
1258,1000
1259,0
1260,2000
1261,0
1264,0
1265,0
1266,0
1267,0
1278,0
1279,0
1286,0
1287,0
1294,0
1295,1000
1296,2000
1297,0
1300,0
1301,0
1302,0
1303,0
1308,0
1309,0
1312,1000
1313,1000
1328,0
1329,0
1330,0
1331,1000
1332,0
1333,0
1334,0
1335,2000
1338,0
1339,0
1342,0
1343,0
1348,0
1349,0
1360,0
1361,0
1366,0
1367,0
1378,0
1379,0
1382,0
1383,2000
1384,0
1385,0
1386,0
1387,0
1394,0
1395,0
1406,0
1407,0
1408,0
1409,0
1410,0
1411,1500
1416,1000
1417,0
1426,0
1427,0
1430,0
1431,1000
1438,0
1439,1500
1454,0
1455,0
1470,0
1471,0
1474,0
1475,0
1498,1000
